Palabra,ID_doc,Frecuencia
a,12,3
a,19,3
a,18,2
a,8,7
a,25,5
a,17,2
a,21,3
a,2,5
a,7,5
a,16,10
a,15,2
a,6,4
a,20,8
a,23,1
a,29,7
a,11,2
a,28,5
a,1,3
a,5,2
a,26,4
a,24,1
a,22,14
a,3,19
a,27,3
a,30,3
a,10,2
a,14,4
a,4,4
aanafter,3,1
ab,23,3
abbreviated,12,1
about,3,1
about,14,1
about,10,1
above,19,1
above,30,1
absence,16,1
academic,3,1
accessories,29,1
accumulated,7,1
acquire,16,1
acquired,16,1
acquired,29,6
acquired,11,1
acquired,28,1
acquisition,30,1
acquisitions,6,1
across,20,1
active,7,1
activity,23,1
acura,25,1
acura,14,2
adapt,29,1
added,25,1
addition,8,1
addition,27,1
additional,25,1
additional,26,1
adept,20,1
adopt,3,1
adopted,7,1
advances,26,1
advantage,3,1
aero,14,1
aerospace,14,1
aerospace,6,1
affordable,19,1
africa,12,1
after,26,1
after,17,1
after,30,1
after,21,1
after,2,1
after,16,3
after,8,1
after,11,1
after,29,1
ag,29,1
ag,12,1
ag,18,2
ag,30,1
ag,11,1
ag,6,1
again,12,1
again,26,1
ahura,1,1
aichi,3,1
aichi,25,1
aircraft,12,1
airplane,10,1
aktiebolaget,23,1
alfa,29,1
alfred,16,1
all,19,1
all,25,1
all,28,1
alliance,3,1
alliance,2,1
alliances,1,1
allies,28,1
allowed,3,1
allowed,26,1
allows,20,1
alludes,19,1
alone,28,1
along,28,1
along,11,1
along,30,1
already,26,1
alsace,10,1
also,14,4
also,23,2
also,1,2
also,15,1
also,30,1
also,7,2
also,19,1
also,29,2
also,3,4
also,11,1
also,24,1
although,20,1
although,29,1
although,4,1
amazon,20,1
ambitious,27,1
amc,29,1
amcnjeeps,28,1
america,28,1
america,20,2
america,25,1
america,16,1
america,29,3
america,30,1
america,2,1
american,28,2
american,24,1
american,26,2
american,30,2
american,16,1
american,29,3
american,3,1
american,8,1
americanthe,29,1
americas,20,4
americas,26,1
among,26,1
among,25,1
among,7,1
among,11,1
an,29,1
an,28,1
an,10,1
an,24,1
an,6,2
an,7,1
an,20,2
an,8,3
an,15,1
an,27,1
an,25,1
an,3,1
an,30,2
an,22,2
an,16,1
analogs,28,1
ancestors,20,1
and,20,16
and,16,13
and,29,24
and,11,4
and,26,7
and,2,6
and,1,7
and,12,9
and,24,2
and,10,5
and,18,2
and,17,5
and,23,8
and,21,1
and,14,9
and,28,14
and,22,6
and,19,7
and,5,3
and,8,12
and,6,17
and,7,11
and,30,16
and,25,16
and,27,6
and,3,15
and,4,3
announced,30,1
announcing,16,1
anonyme,29,1
another,30,1
antoine,26,1
any,28,1
