1   (27, 1) (20, 1) 
10	(25, 1) (3, 2) (29, 1) 
108705	(14, 1) 
11	(29, 1) (30, 1)     
133	(5, 1) 
14	(14, 1) (28, 1) 
15	(1, 1) (29, 1) 
15%	(2, 1) 
1500	(19, 1) 
158	(20, 1) 
15th-largest	(1, 1) 
16	(30, 1) 
1658u20131730	(26, 1) 
185	(20, 1) 
1856u20131943	(24, 1) 
1861u20131947	(16, 1) 
1868u20131951	(11, 1) 
1870	(4, 2) 
1878u20131941	(16, 1) 
1884u20131946	(16, 1) 
1888u20131971	(6, 1) 
1897	(26, 2) 
1898u20131988	(7, 1) 
1899	(26, 1) 
1900s	(30, 1) 
1908	(26, 1) 
1909	(26, 1) (10, 1) 
1910	(30, 1) 
1911	(16, 1) 
1912	(26, 1) 
1914	(30, 1) (27, 1) 
1916	(12, 1) 
1916u20131993	(8, 1) 
1917	(12, 1) 
1918	(12, 1) (16, 1) 
1919	(16, 2) (6, 1) 
192	(5, 1) 
1920	(1, 1) (30, 1) 
1924	(6, 1) 
1925	(30, 1) (29, 1) 
1927	(6, 1) (1, 1) (23, 1) 
1928	(29, 1) (6, 1) 
1928ndodges	(30, 1) 
1929	(6, 1) (7, 1) (16, 1) 
1930	(6, 1) 
1931	(6, 1) (1, 1) 
1932	(11, 1) 
1933	(12, 1) 
1934	(3, 1) 
1935	(23, 1) 
1936	(3, 1) 
1937	(3, 1) (17, 1) 
1939	(10, 1) (7, 1) 
1940	(7, 1) (28, 1) 
1941	(28, 1) 
1945	(28, 1) (7, 1) 
1945nautomobiles	(12, 1) 
1946	(4, 1) 
1947	(7, 1) (10, 1) 
1948	(8, 1) 
1950s	(10, 1) (7, 1) 
1952	(7, 1) 
1954	(29, 1) 
1959	(12, 1) (14, 1) 
1960	(7, 1) 
1960s	(7, 1) (29, 1) (11, 1) (3, 1) 
1963	(7, 1) (8, 1) (28, 1) 
1963nin	(10, 1) 
1963u201376	(30, 1) 
1965	(30, 1) (11, 1) 
1969	(11, 1) 
1970s	(30, 1) (29, 2) 
1971	(6, 1) 
1972	(19, 1) 
1973	(30, 1) (8, 3) 
1978	(8, 1) (29, 1) 
1978nthe	(30, 1) 
1980	(30, 1) 
1980s	(30, 1) (29, 1) 
1981	(30, 1) 
1983	(25, 1) 
1985	(23, 1) (29, 1) 
1986	(28, 1) (14, 2) 
1987	(10, 1) (28, 1) (29, 1) (8, 1) 
1989	(25, 2) 
1990s	(20, 1) (30, 1) 
1991	(1, 1) 
1994	(8, 1) 
1996	(19, 1) 
1997	(3, 1) 
1998	(30, 2) (8, 1) (29, 2) (6, 2) 
1999	(2, 1) (23, 1) 
1u20132	(7, 1) 
2	(16, 1) (2, 1) 
20	(30, 1) 
20%	(3, 1) 
200	(3, 1) 
2000	(14, 1) 
2000s	(26, 1) (8, 1) (25, 1) 
2001	(25, 1) (14, 1) (22, 1) 
2002	(20, 1) 
2003	(25, 1) 
2004	(14, 1) 
2005	(25, 5) (16, 1) 
2007	(30, 1) (23, 1) (25, 1) (29, 1) 
2007nlike	(29, 1) 
2007u20132009	(29, 1) 
2008	(28, 1) 
2008u20132010	(29, 1) 
2009	(29, 2) (30, 2) 
2009nlexus	(25, 1) 
2009u20132014	(29, 1) 
2010	(23, 1) 
2011	(16, 1) (29, 1) (30, 1) 
2012	(19, 1) (3, 1) (22, 1) (14, 1) 
2012today	(6, 1) 
2013	(14, 2) (16, 1) 
2014	(30, 1) (2, 1) (7, 1) (29, 4) (27, 1) 
2015	(1, 2) (14, 1) (21, 1) 
2016	(2, 2) (17, 1) (23, 1) (16, 1) (5, 1) (28, 1) 
2016nthe	(7, 1) 
2017	(2, 1) (17, 1) (28, 1) (12, 1) 
2017subaru	(19, 1) 
2018	(2, 1) (16, 1) 
2019	(21, 1) (7, 1) (14, 1) (26, 1) 
2020	(3, 1) 
2021	(27, 1) (16, 2) (30, 1) (29, 1) 
2021nafter	(29, 1) 
2022	(2, 1) (12, 1) (3, 1) (8, 1) 
2022prominent	(6, 1) 
2023	(2, 1) (3, 1) (7, 1) 
2024	(8, 1) 
20th	(11, 1) (2, 1) 
22	(28, 1) 
225	(3, 1) 
2279503	(12, 1) 
23	(5, 1) 
24	(7, 1) (6, 1) (1, 1) 
2400	(28, 1) 
250	(29, 1) 
28	(21, 1) (3, 1) 
28%	(3, 1) 
3	(16, 1) (29, 1) (2, 1) 
30	(29, 1) (1, 1) 
300	(3, 1) 
3000	(27, 1) 
320000	(2, 1) 
330	(25, 1) 
335	(28, 1) 
3388%	(21, 1) 
34	(26, 1) 
34%	(2, 1) 
348	(20, 1) 
35	(5, 1) (10, 1) 
36	(20, 1) 
38%	(3, 1) 
390458	(26, 1) 
4	(29, 1) 
40	(3, 1) (17, 1) 
400	(14, 1) 
41	(10, 1) 
45000	(5, 1) 
4537%	(21, 1) 
46%	(3, 1) 
49%	(3, 1) (21, 1) 
4u00bd	(6, 1) 
4u00d74	(28, 1) 
5	(29, 1) 
50	(20, 1) (8, 1) 
50-year	(16, 1) 
500000	(28, 1) 
51	(20, 1) 
51%	(3, 1) 
55	(10, 1) 
57	(10, 1) 
57%	(14, 1) 
6	(20, 1) 
718	(18, 1) 
75000	(27, 1) 
78	(2, 1) 
787b	(1, 1) 
7th	(12, 1) 
8000	(10, 1) 
88357	(14, 1) 
90	(25, 1) 
911	(28, 1) (18, 1) 
9th	(2, 1) 
[autou02c8mu0254u02d0bili	(8, 1) 
[feru02c8rau02d0ri]	(7, 1) 
[honda]	(14, 1) 
[kia]	(21, 1) 
[mazeu02c8rau02d0ti]	(27, 1) 
[toua71cjota]	(3, 1) 
[u02c8au028au032fdi	(11, 1) 
[u02c8fu0254lksu02ccvau02d0u0261nu0329]	(17, 1) 
[u02c8pu0254u0281u0283u0259]	(18, 1) 
[u02c8su026fbau027eu026f]	(19, 1) 
[u02ccbeu02d0u0294u025bmu02c8veu02d0]	(12, 1) 
a	(12, 3) (19, 3) (18, 2) (8, 7) (25, 5) (17, 2) (21, 3) (2, 5) (7, 5) (16, 10) (15, 2) (6, 4) (20, 8) (23, 1) (29, 7) (11, 2) (28, 5) (1, 3) (5, 2) (26, 4) (24, 1) (22, 14) (3, 19) (27, 3) (30, 3) (10, 2) (14, 4) (4, 4) 
aanafter	(3, 1) 
ab	(23, 3) 
abbreviated	(12, 1) 
about	(3, 1) (14, 1) (10, 1) 
above	(19, 1) (30, 1) 
absence	(16, 1) 
academic	(3, 1) 
accessories	(29, 1) 
accumulated	(7, 1) 
acquire	(16, 1) 
acquired	(16, 1) (29, 6) (11, 1) (28, 1) 
acquisition	(30, 1) 
acquisitions	(6, 1) 
across	(20, 1) 
active	(7, 1) 
activity	(23, 1) 
acura	(25, 1) (14, 2) 
adapt	(29, 1) 
added	(25, 1) 
addition	(8, 1) (27, 1) 
additional	(25, 1) (26, 1) 
adept	(20, 1) 
adopt	(3, 1) 
adopted	(7, 1) 
advances	(26, 1) 
advantage	(3, 1) 
aero	(14, 1) 
aerospace	(14, 1) (6, 1) 
affordable	(19, 1) 
africa	(12, 1) 
after	(26, 1) (17, 1) (30, 1) (21, 1) (2, 1) (16, 3) (8, 1) (11, 1) (29, 1) 
ag	(29, 1) (12, 1) (18, 2) (30, 1) (11, 1) (6, 1) 
again	(12, 1) (26, 1) 
ahura	(1, 1) 
aichi	(3, 1) (25, 1) 
aircraft	(12, 1) 
airplane	(10, 1) 
aktiebolaget	(23, 1) 
alfa	(29, 1) 
alfred	(16, 1) 
all	(19, 1) (25, 1) (28, 1) 
all-electric	(2, 1) (3, 1) 
all-terrain	(5, 1) 
all-time	(3, 1) 
all-wheel	(19, 1) 
alliance	(3, 1) (2, 1) 
alliances	(1, 1) 
allies	(28, 1) 
allowed	(3, 1) (26, 1) 
allows	(20, 1) 
alludes	(19, 1) 
alone	(28, 1) 
along	(28, 1) (11, 1) (30, 1) 
already	(26, 1) 
alsace	(10, 1) 
also	(14, 4) (23, 2) (1, 2) (15, 1) (30, 1) (7, 2) (19, 1) (29, 2) (3, 4) (11, 1) (24, 1) 
although	(20, 1) (29, 1) (4, 1) 
amazon	(20, 1) 
ambitious	(27, 1) 
amc	(29, 1) 
amcnjeeps	(28, 1) 
america	(28, 1) (20, 2) (25, 1) (16, 1) (29, 3) (30, 1) (2, 1) 
american	(28, 2) (24, 1) (26, 2) (30, 2) (16, 1) (29, 3) (3, 1) (8, 1) 
americanthe	(29, 1) 
americas	(20, 4) (26, 1) 
among	(26, 1) (25, 1) (7, 1) (11, 1) 
an	(29, 1) (28, 1) (10, 1) (24, 1) (6, 2) (7, 1) (20, 2) (8, 3) (15, 1) (27, 1) (25, 1) (3, 1) (30, 2) (22, 2) (16, 1) 
analogs	(28, 1) 
ancestors	(20, 1) 
and	(20, 16) (16, 13) (29, 24) (11, 4) (26, 7) (2, 6) (1, 7) (12, 9) (24, 2) (10, 5) (18, 2) (17, 5) (23, 8) (21, 1) (14, 9) (28, 14) (22, 6) (19, 7) (5, 3) (8, 12) (6, 17) (7, 11) (30, 16) (25, 16) (27, 6) (3, 15) (4, 3) 
announced	(30, 1) 
announcing	(16, 1) 
anonyme	(29, 1) 
another	(30, 1) 
antoine	(26, 1) 
any	(28, 1) (7, 1) 
apex	(20, 1) 
appears	(20, 1) 
approximately	(7, 1) 
april	(29, 1) (2, 1) 
are	(7, 2) (20, 1) (30, 1) (16, 1) (11, 1) (12, 2) (28, 1) (4, 3) (19, 1) (26, 2) (3, 1) (6, 2) (27, 1) (25, 2) 
areas	(20, 2) 
argentina	(20, 1) 
argentinanthe	(20, 1) 
arguably	(28, 1) 
aries	(30, 1) 
arm	(6, 1) 
armed	(28, 1) 
armsnby	(26, 1) 
army	(17, 1) (28, 1) 
arnage	(6, 1) 
around	(25, 1) (16, 1) (3, 1) 
arthur	(16, 1) 
artificial	(14, 1) 
