INFO:werkzeug:[31m[1mWARNING: This is a development server. Do not use it in a production deployment. Use a production WSGI server instead.[0m
 * Running on http://127.0.0.1:5000
INFO:werkzeug:[33mPress CTRL+C to quit[0m
INFO:werkzeug: * Restarting with stat
WARNING:werkzeug: * Debugger is active!
INFO:werkzeug: * Debugger PIN: 938-951-101
INFO:root:Ruta: /simular_busquedas - Latencia: 0.0 segundos
INFO:root:Ruta: /simular_busquedas - Latencia: 0.0 segundos
INFO:root:Ruta: /simular_busquedas - Latencia: 0.0 segundos
INFO:root:Ruta: /simular_busquedas - Latencia: 0.0 segundos
INFO:root:Ruta: /simular_busquedas - Latencia: 0.0 segundos
INFO:root:Ruta: /simular_busquedas - Latencia: 0.0 segundos
INFO:root:Ruta: /simular_busquedas - Latencia: 0.0 segundos
INFO:root:Ruta: /simular_busquedas - Latencia: 0.0 segundos
INFO:root:Ruta: /simular_busquedas - Latencia: 0.0 segundos
INFO:root:Ruta: /simular_busquedas - Latencia: 0.0 segundos
INFO:root:Ruta: /simular_busquedas - Latencia: 0.0 segundos
INFO:root:Ruta: /simular_busquedas - Latencia: 0.0 segundos
INFO:root:Ruta: /simular_busquedas - Latencia: 0.0 segundos
INFO:root:Ruta: /simular_busquedas - Latencia: 0.0 segundos
INFO:root:Ruta: /simular_busquedas - Latencia: 0.0 segundos
INFO:root:Ruta: /simular_busquedas - Latencia: 0.0 segundos
INFO:root:Ruta: /simular_busquedas - Latencia: 0.0 segundos
INFO:root:Ruta: /simular_busquedas - Latencia: 0.0 segundos
INFO:root:Ruta: /simular_busquedas - Latencia: 0.0 segundos
INFO:root:Ruta: /simular_busquedas - Latencia: 0.0 segundos
INFO:root:Ruta: /simular_busquedas - Latencia: 0.0 segundos
INFO:root:Ruta: /simular_busquedas - Latencia: 0.0 segundos
INFO:root:Ruta: /simular_busquedas - Latencia: 0.0 segundos
INFO:root:Ruta: /simular_busquedas - Latencia: 0.0 segundos
INFO:root:Ruta: /simular_busquedas - Latencia: 0.0 segundos
INFO:root:Ruta: /simular_busquedas - Latencia: 0.0 segundos
INFO:root:Ruta: /simular_busquedas - Latencia: 0.0 segundos
INFO:root:Ruta: /simular_busquedas - Latencia: 0.0 segundos
INFO:root:Ruta: /simular_busquedas - Latencia: 0.0 segundos
INFO:root:Ruta: /simular_busquedas - Latencia: 0.0 segundos
INFO:root:Ruta: /simular_busquedas - Latencia: 0.0 segundos
INFO:root:Ruta: /simular_busquedas - Latencia: 0.0 segundos
INFO:root:Ruta: /simular_busquedas - Latencia: 0.0 segundos
INFO:root:Ruta: /simular_busquedas - Latencia: 0.0 segundos
INFO:root:Ruta: /simular_busquedas - Latencia: 0.0 segundos
INFO:root:Ruta: /simular_busquedas - Latencia: 0.0 segundos
INFO:root:Ruta: /simular_busquedas - Latencia: 0.0 segundos
INFO:root:Ruta: /simular_busquedas - Latencia: 0.0 segundos
INFO:root:Ruta: /simular_busquedas - Latencia: 0.0 segundos
INFO:root:Ruta: /simular_busquedas - Latencia: 0.0 segundos
INFO:root:Ruta: /simular_busquedas - Latencia: 0.0 segundos
